image,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,UNK
ISIC_0072801,0.1224049628,0.5199702978,0.3360723257,0.0000585369,0.0024562206,0.0048542237,0.0000026867,0.0141806826,0.0000000018
ISIC_0073163,0.9997724891,0.0002268461,0.0000002600,0.0000000000,0.0000005048,0.0000000000,0.0000000000,0.0000000004,0.0000000000
ISIC_0062652,0.8196853995,0.1742977500,0.0040449826,0.0000024783,0.0016919906,0.0000000004,0.0000000121,0.0002774296,0.0000000000
ISIC_0054196,0.0066029509,0.9933969975,0.0000000007,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0056420,0.0000204407,0.9999796152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055321,0.9999563694,0.0000000052,0.0000235614,0.0000015621,0.0000179249,0.0000000000,0.0000000000,0.0000005907,0.0000000000
ISIC_0067708,0.0004204040,0.9995791316,0.0000000000,0.0000005320,0.0000000221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0072122,0.0251876693,0.0000000000,0.0000301685,0.0000997327,0.9746822715,0.0000000000,0.0000000000,0.0000001015,0.0000000000
ISIC_0059980,0.0000009690,0.9999978542,0.0000000000,0.0000000000,0.0000000106,0.0000000000,0.0000012205,0.0000000000,0.0000000000
ISIC_0058931,0.0000000000,0.9979660511,0.0000030051,0.0000000000,0.0000000001,0.0000000001,0.0000000000,0.0020309647,0.0000000000
ISIC_0058986,0.0053937268,0.0017111738,0.0768568665,0.0000190587,0.0122740222,0.0000013707,0.0000000155,0.9037437439,0.0000000001
ISIC_0068519,0.0000000000,0.0000062579,0.2715193331,0.0000000000,0.0169779882,0.0000000000,0.7114964128,0.0000000000,0.0000000000
ISIC_0065782,0.0017207400,0.9980438948,0.0000000010,0.0000055202,0.0002253205,0.0000045735,0.0000000000,0.0000000000,0.0000000000
ISIC_0053726,0.0010887661,0.9989112616,0.0000000001,0.0000000000,0.0000000004,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035286,0.0000120098,0.9999722242,0.0000000022,0.0000039562,0.0000008993,0.0000109905,0.0000000000,0.0000000000,0.0000000000
ISIC_0067981,0.0000002117,0.9999997616,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0064352,0.3539181948,0.6445544362,0.0010902736,0.0004151283,0.0000014558,0.0000000000,0.0000001541,0.0000203387,0.0000000001
ISIC_0036003,0.0000001543,0.9999977350,0.0000000000,0.0000000000,0.0000021255,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035005,0.0000230941,0.0033551250,0.9548205137,0.0021755314,0.0100533301,0.0013551458,0.0000023508,0.0282148849,0.0000000016
ISIC_0053581,0.0000010546,0.1707719713,0.1224899366,0.0000000002,0.0000104843,0.0000000000,0.7067266107,0.0000000000,0.0000000000
ISIC_0072563,0.0000000056,0.9999501705,0.0000000000,0.0000000000,0.0000003870,0.0000000039,0.0000494390,0.0000000000,0.0000000000
ISIC_0071617,0.0015846486,0.9977365732,0.0000000731,0.0000000000,0.0006787183,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0067644,0.0000054749,0.4981226623,0.3814818561,0.0000001737,0.1181652322,0.0000000000,0.0000003773,0.0022241876,0.0000000000
ISIC_0066276,0.0000381154,0.0001176326,0.0000041389,0.0311737917,0.9686663747,0.0000000000,0.0000000000,0.0000000013,0.0000000000
ISIC_0062675,0.9999574423,0.0000000000,0.0000000005,0.0000007414,0.0000000001,0.0000000000,0.0000418712,0.0000000000,0.0000000000
ISIC_0066069,0.0000000178,0.9999998808,0.0000000000,0.0000000000,0.0000000824,0.0000000000,0.0000000063,0.0000000000,0.0000000000
ISIC_0060519,0.0000000000,0.9997448325,0.0000000000,0.0000000000,0.0000009491,0.0000000000,0.0002542029,0.0000000000,0.0000000000
ISIC_0057971,0.0000000000,0.9999673367,0.0000000000,0.0000000000,0.0000000001,0.0000317625,0.0000009882,0.0000000000,0.0000000000
ISIC_0063357,0.0000266580,0.9999705553,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000028177,0.0000000000,0.0000000000
ISIC_0064040,0.0000000001,0.9999729395,0.0000000000,0.0000000000,0.0000000160,0.0000270823,0.0000000014,0.0000000000,0.0000000000
ISIC_0058490,0.0003656022,0.9996311665,0.0000000000,0.0000000000,0.0000010508,0.0000000958,0.0000020079,0.0000000000,0.0000000000
ISIC_0057163,0.0094818063,0.1282463968,0.0016735003,0.0018973870,0.8587009311,0.0000000000,0.0000000001,0.0000000328,0.0000000000
ISIC_0073121,0.0402058363,0.8740143776,0.0000001288,0.0002263318,0.0855533257,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0035685,0.0000302299,0.9999697208,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000038,0.0000000000,0.0000000000
ISIC_0035357,0.0000000055,0.9999989271,0.0000000023,0.0000000000,0.0000003333,0.0000000557,0.0000007486,0.0000000000,0.0000000000
ISIC_0067059,0.9990572333,0.0009427332,0.0000000000,0.0000000002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0064380,0.0268351473,0.0000292310,0.3580244482,0.0001994427,0.6131003499,0.0000000000,0.0000002899,0.0018111392,0.0000000000
ISIC_0062381,0.0000581368,0.0000000000,0.0000000001,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.9999418259,0.0000000000
ISIC_0071036,0.1469171196,0.7974076271,0.0556708388,0.0000000000,0.0000034629,0.0000000000,0.0000009080,0.0000000000,0.0000000000
ISIC_0070172,0.9854294062,0.0000107218,0.0000894137,0.0000245248,0.0000001297,0.0000000000,0.0000000000,0.0144457910,0.0000000000
ISIC_0056837,0.9532334805,0.0467441045,0.0000117039,0.0000000000,0.0000000138,0.0000000000,0.0000106484,0.0000000201,0.0000000000
ISIC_0059957,0.0000000001,0.9999998808,0.0000000000,0.0000000000,0.0000000000,0.0000000970,0.0000000004,0.0000000000,0.0000000000
ISIC_0071206,0.0020542801,0.0000116235,0.2574316263,0.0000001869,0.0005601225,0.0000026730,0.0002468818,0.7396925688,0.0000000000
ISIC_0071818,0.0002762650,0.9903762937,0.0000110812,0.0091382898,0.0000079380,0.0000000000,0.0000000000,0.0001901927,0.0000000000
ISIC_0056868,0.9260585904,0.0026063002,0.0049915249,0.0000002764,0.0134374425,0.0046154773,0.0482903384,0.0000000744,0.0000000001
ISIC_0063706,0.0000000034,0.9922588468,0.0000000006,0.0000000000,0.0000016924,0.0077393982,0.0000000374,0.0000000084,0.0000000000
ISIC_0070318,0.0163945686,0.0346332975,0.5439116955,0.0001398742,0.2640712857,0.0029218800,0.0000000027,0.1379273385,0.0000000026
ISIC_0034851,0.0001483980,0.0000000019,0.0000001573,0.0000056459,0.9997823834,0.0000000000,0.0000000000,0.0000635186,0.0000000000
ISIC_0070036,0.0000072002,0.9991914630,0.0000000000,0.0000000000,0.0008013311,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035925,0.0023406071,0.9462412000,0.0000042290,0.0418476611,0.0004427721,0.0000000000,0.0000000000,0.0091234827,0.0000000000
ISIC_0069438,0.0007061564,0.0000006102,0.0058473400,0.0004611406,0.9929761887,0.0000000000,0.0000000017,0.0000085984,0.0000000000
ISIC_0064314,0.0600711741,0.9399276376,0.0000000000,0.0000000000,0.0000000031,0.0000000000,0.0000012141,0.0000000000,0.0000000000
ISIC_0056133,0.9979581833,0.0020316634,0.0000000000,0.0000000000,0.0000101628,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063616,0.0592802018,0.0004509237,0.0000029011,0.7132616043,0.2270042449,0.0000000000,0.0000000006,0.0000001259,0.0000000000
ISIC_0068838,0.9999952316,0.0000000033,0.0000000000,0.0000002564,0.0000045170,0.0000000000,0.0000000034,0.0000000001,0.0000000000
ISIC_0061038,0.0000000149,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0053942,0.9966980219,0.0000000012,0.0001575301,0.0000056155,0.0004259159,0.0000000000,0.0000000015,0.0027128519,0.0000000000
ISIC_0061765,0.1191931516,0.8491750360,0.0000000174,0.0001528460,0.0314789377,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0034371,0.0000001396,0.2170932293,0.3001616001,0.0000000048,0.4596570432,0.0000000000,0.0000000105,0.0230878871,0.0000000000
ISIC_0072389,0.0770040601,0.9175625443,0.0004489972,0.0000000405,0.0041776909,0.0000000008,0.0005209740,0.0002856840,0.0000000000
ISIC_0063235,0.9999516010,0.0000103108,0.0000105810,0.0000000000,0.0000274298,0.0000000000,0.0000000000,0.0000000360,0.0000000000
ISIC_0034855,0.0047851186,0.9943589568,0.0000332771,0.0004289635,0.0003250932,0.0000000000,0.0000000000,0.0000686375,0.0000000000
ISIC_0069580,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
